(42, 30, 'B', 1186968, '93.20', '2013-1-28 15:53:18', 371, 3, 352, 'https://mega.nz/...'),
(93, 34, 'D', 708249, '66.77', '2014-3-17 22:17:15', 256, 13, 79, 'https://mega.nz/...'),
(93, 32, 'B', 954606, '90.79', '2011-7-19 23:43:52', 306, 9, 287, 'https://mega.nz/...'),
(93, 33, 'C', 779976, '74.10', '2014-5-18 19:42:38', 254, 7, 127, 'https://mega.nz/...'),
(93, 17, 'C', 758736, '72.90', '2013-9-1 4:30:35', 207, 76, 97, 'https://mega.nz/...'),
(93, 12, 'C', 817034, '78.74', '2011-1-10 1:33:18', 211, 26, 131, 'https://mega.nz/...'),
(93, 6, 'B', 947745, '90.34', '2011-7-14 16:11:39', 294, 25, 272, 'https://mega.nz/...'),
(93, 2, 'C', 766480, '71.37', '2012-3-21 18:3:39', 321, 57, 137, 'https://mega.nz/...'),
(90, 21, 'B', 910531, '88.55', '2013-8-18 2:17:40', 196, 7, 172, 'https://mega.nz/...'),
(90, 17, 'A', 990718, '95.09', '2015-6-6 5:16:46', 275, 12, 289, 'https://mega.nz/...'),
(90, 4, 'C', 757087, '72.16', '2014-11-4 16:50:59', 235, 29, 105, 'https://mega.nz/...'),
(131, 31, 'S', 1001999, '97.30', '2013-7-21 8:5:38', 223, 6, 247, 'https://mega.nz/...'),
(131, 3, 'B', 902177, '87.64', '2013-11-20 22:25:27', 199, 11, 170, 'https://mega.nz/...'),
(131, 13, 'B', 963340, '92.45', '2010-3-13 17:36:37', 268, 16, 263, 'https://mega.nz/...'),
(131, 34, 'C', 873858, '84.01', '2011-9-12 20:13:38', 236, 38, 179, 'https://mega.nz/...'),
(131, 11, 'C', 850068, '81.45', '2013-12-1 4:3:13', 243, 0, 168, 'https://mega.nz/...'),
(23, 17, 'C', 487870, '82.79', '2011-4-20 10:43:51', 117, 17, 175, 'https://mega.nz/...'),
(93, 17, 'B', 515379, '87.23', '2012-9-28 16:42:17', 130, 21, 226, 'https://mega.nz/...'),
(171, 29, 'B', 535184, '91.01', '2010-7-5 2:28:50', 123, 2, 238, 'https://mega.nz/...'),
(50, 29, 'C', 467730, '79.20', '2012-3-8 20:26:21', 117, 12, 152, 'https://mega.nz/...'),
(50, 12, 'C', 506892, '83.87', '2015-9-12 18:57:2', 182, 9, 283, 'https://mega.nz/...'),
(50, 3, 'D', 406271, '69.00', '2015-4-23 20:40:15', 96, 38, 72, 'https://mega.nz/...'),
(124, 7, 'C', 503762, '84.56', '2014-1-23 12:28:15', 147, 21, 234, 'https://mega.nz/...'),
(124, 20, 'S', 585315, '98.52', '2014-3-26 22:10:15', 163, 2, 382, 'https://mega.nz/...'),
(109, 35, 'D', 409324, '68.40', '2015-8-26 6:29:9', 128, 7, 92, 'https://mega.nz/...'),
(141, 21, 'C', 425528, '77.52', '2014-1-6 1:19:39', 116, 0, 145, 'https://mega.nz/...'),
(141, 6, 'C', 450110, '81.99', '2010-8-5 9:36:24', 123, 21, 185, 'https://mega.nz/...'),
(141, 10, 'S', 544034, '99.39', '2011-4-9 23:34:11', 141, 0, 349, 'https://mega.nz/...'),
(141, 9, 'B', 511057, '92.50', '2011-4-23 23:38:3', 155, 0, 324, 'https://mega.nz/...'),
(141, 28, 'A', 516210, '95.49', '2015-6-26 3:41:0', 103, 1, 232, 'https://mega.nz/...'),
(141, 34, 'A', 530403, '96.69', '2014-9-24 23:17:8', 143, 4, 332, 'https://mega.nz/...'),
(141, 33, 'S', 535055, '99.24', '2015-2-13 2:20:5', 100, 0, 246, 'https://mega.nz/...'),
(141, 18, 'S', 536214, '97.27', '2016-6-11 21:15:44', 157, 4, 370, 'https://mega.nz/...'),
(54, 17, 'S', 549029, '99.54', '2014-2-11 10:4:32', 162, 0, 402, 'https://mega.nz/...'),
(54, 19, 'A', 514356, '94.60', '2014-5-24 16:8:1', 117, 6, 258, 'https://mega.nz/...'),
(54, 1, 'C', 414171, '75.64', '2016-7-7 13:45:33', 108, 35, 124, 'https://mega.nz/...'),
(54, 6, 'B', 515612, '93.84', '2012-10-7 13:58:12', 143, 7, 309, 'https://mega.nz/...'),
(54, 6, 'D', 388983, '69.48', '2010-1-2 8:4:14', 142, 35, 114, 'https://mega.nz/...'),
(54, 30, 'B', 482680, '87.53', '2013-6-11 2:7:38', 142, 10, 257, 'https://mega.nz/...'),
(54, 17, 'C', 460799, '83.51', '2016-10-27 22:17:16', 137, 9, 217, 'https://mega.nz/...'),
(54, 27, 'C', 403934, '71.93', '2010-4-9 7:4:42', 153, 26, 144, 'https://mega.nz/...'),
(54, 33, 'B', 508960, '93.83', '2010-8-16 12:3:15', 110, 0, 238, 'https://mega.nz/...'),
(95, 2, 'C', 403656, '73.81', '2014-4-1 8:56:9', 103, 13, 108, 'https://mega.nz/...'),
(95, 31, 'B', 477729, '85.77', '2010-2-17 22:30:2', 163, 7, 279, 'https://mega.nz/...'),
(95, 25, 'B', 473037, '86.25', '2010-11-23 15:52:42', 127, 8, 221, 'https://mega.nz/...'),
(95, 32, 'C', 444925, '79.87', '2013-12-16 20:5:23', 152, 22, 210, 'https://mega.nz/...'),
(95, 3, 'C', 409130, '75.25', '2014-12-21 0:35:32', 93, 0, 105, 'https://mega.nz/...'),
(87, 35, 'C', 448122, '81.26', '2015-9-6 6:57:25', 132, 18, 193, 'https://mega.nz/...'),
(87, 10, 'C', 403452, '73.00', '2010-4-10 0:41:21', 123, 37, 123, 'https://mega.nz/...'),
(87, 24, 'D', 382709, '67.42', '2013-6-28 8:44:32', 164, 11, 113, 'https://mega.nz/...'),
(180, 12, 'C', 409371, '72.48', '2010-8-24 10:2:19', 166, 2, 161, 'https://mega.nz/...'),
(180, 2, 'C', 419806, '74.68', '2013-11-18 10:39:32', 161, 36, 176, 'https://mega.nz/...'),
(180, 5, 'B', 489236, '88.52', '2014-2-14 21:58:17', 149, 7, 278, 'https://mega.nz/...'),
(180, 15, 'B', 507748, '91.40', '2012-11-16 16:28:11', 167, 6, 339, 'https://mega.nz/...'),
(180, 28, 'B', 508324, '91.97', '2015-11-20 14:48:43', 155, 11, 319, 'https://mega.nz/...'),
(180, 5, 'B', 499352, '89.66', '2011-3-10 23:50:50', 170, 10, 328, 'https://mega.nz/...'),
(180, 24, 'S', 524206, '97.23', '2013-4-9 9:45:13', 98, 3, 230, 'https://mega.nz/...'),
(180, 5, 'C', 405314, '74.55', '2015-7-14 5:35:54', 92, 37, 100, 'https://mega.nz/...'),
(52, 26, 'C', 443920, '80.37', '2013-5-29 1:16:0', 134, 19, 189, 'https://mega.nz/...'),
(52, 24, 'A', 521419, '94.84', '2016-4-25 20:18:58', 146, 7, 324, 'https://mega.nz/...'),
(97, 18, 'D', 412212, '68.49', '2013-4-2 17:52:36', 109, 22, 78, 'https://mega.nz/...'),
(97, 8, 'C', 493318, '81.07', '2014-6-18 13:49:33', 156, 21, 215, 'https://mega.nz/...'),
(97, 24, 'B', 542984, '90.45', '2010-11-20 21:48:56', 137, 5, 257, 'https://mega.nz/...'),
(97, 5, 'A', 564218, '95.41', '2014-8-14 7:31:57', 102, 5, 218, 'https://mega.nz/...'),
(97, 35, 'C', 450679, '73.80', '2011-7-9 2:35:34', 150, 43, 149, 'https://mega.nz/...'),
(97, 32, 'C', 486338, '81.67', '2016-5-23 3:40:11', 104, 17, 147, 'https://mega.nz/...'),
(97, 27, 'S', 592011, '99.23', '2015-1-5 22:41:55', 132, 0, 309, 'https://mega.nz/...'),
(97, 6, 'A', 572602, '95.19', '2010-5-24 3:53:18', 150, 3, 319, 'https://mega.nz/...'),
(97, 20, 'C', 490170, '80.77', '2011-10-11 2:31:5', 149, 18, 203, 'https://mega.nz/...'),
(42, 18, 'C', 455877, '74.61', '2010-8-4 19:37:29', 153, 4, 159, 'https://mega.nz/...'),
(42, 31, 'C', 438040, '73.20', '2010-5-29 6:7:36', 104, 1, 100, 'https://mega.nz/...'),
(42, 26, 'C', 465734, '75.95', '2014-1-15 21:52:34', 164, 41, 182, 'https://mega.nz/...'),
(42, 8, 'C', 510060, '83.80', '2014-7-11 2:23:10', 162, 26, 247, 'https://mega.nz/...'),
(42, 4, 'A', 571750, '96.83', '2010-12-19 14:28:49', 99, 6, 219, 'https://mega.nz/...'),
(42, 22, 'A', 574814, '95.02', '2016-5-17 18:53:33', 166, 9, 352, 'https://mega.nz/...'),
(42, 12, 'C', 474544, '77.92', '2012-12-7 12:24:45', 152, 13, 184, 'https://mega.nz/...'),
(42, 14, 'C', 504359, '84.13', '2014-1-16 15:41:40', 124, 8, 191, 'https://mega.nz/...'),
(42, 34, 'D', 408897, '67.88', '2014-6-3 15:31:48', 110, 0, 75, 'https://mega.nz/...'),
(95, 32, 'B', 541889, '89.77', '2013-7-9 15:56:9', 151, 15, 278, 'https://mega.nz/...'),
(95, 5, 'S', 584151, '97.43', '2010-6-2 14:4:45', 144, 0, 324, 'https://mega.nz/...'),
(95, 27, 'C', 438544, '73.25', '2013-12-3 12:6:52', 105, 37, 101, 'https://mega.nz/...'),
(95, 30, 'D', 427036, '69.48', '2016-5-1 0:9:47', 155, 56, 119, 'https://mega.nz/...'),
(95, 15, 'S', 585974, '99.15', '2012-12-6 6:34:18', 104, 0, 243, 'https://mega.nz/...'),
(134, 12, 'C', 453276, '74.68', '2011-12-18 21:46:23', 138, 36, 144, 'https://mega.nz/...'),
(134, 24, 'C', 498924, '83.99', '2012-11-29 23:19:7', 101, 6, 155, 'https://mega.nz/...'),
(134, 7, 'B', 519967, '86.24', '2013-12-3 10:10:38', 142, 20, 235, 'https://mega.nz/...'),
(134, 24, 'B', 518681, '85.66', '2013-4-9 13:47:12', 152, 4, 247, 'https://mega.nz/...'),
(134, 10, 'A', 578982, '95.26', '2010-6-25 5:16:5', 180, 4, 384, 'https://mega.nz/...'),
(134, 23, 'C', 481712, '80.83', '2012-4-14 8:15:31', 105, 20, 143, 'https://mega.nz/...'),
(153, 3, 'C', 428036, '70.81', '2011-8-20 10:19:57', 122, 32, 102, 'https://mega.nz/...'),
(153, 24, 'S', 583457, '98.68', '2012-8-7 4:58:7', 105, 1, 243, 'https://mega.nz/...'),
(153, 33, 'C', 446856, '74.75', '2013-3-2 1:25:17', 104, 9, 108, 'https://mega.nz/...'),
(153, 15, 'S', 584697, '97.88', '2013-3-18 16:59:22', 134, 3, 304, 'https://mega.nz/...'),
(153, 30, 'B', 530886, '87.31', '2016-11-11 11:1:34', 166, 11, 284, 'https://mega.nz/...'),
(153, 35, 'B', 520898, '85.81', '2014-7-16 23:8:33', 159, 19, 259, 'https://mega.nz/...'),
(153, 31, 'S', 574855, '97.48', '2012-2-17 18:30:51', 96, 3, 216, 'https://mega.nz/...'),
(107, 8, 'D', 422813, '69.09', '2015-7-10 19:54:23', 145, 36, 108, 'https://mega.nz/...'),
(79, 21, 'D', 376532, '69.06', '2010-8-23 2:12:11', 101, 2, 77, 'https://mega.nz/...'),
(79, 20, 'B', 500071, '93.15', '2016-1-12 11:39:17', 97, 6, 202, 'https://mega.nz/...'),
(79, 3, 'S', 535222, '97.33', '2010-5-11 7:16:16', 165, 0, 382, 'https://mega.nz/...'),
(79, 9, 'C', 394213, '70.82', '2010-6-29 10:55:28', 144, 15, 124, 'https://mega.nz/...'),
(79, 1, 'B', 479597, '88.84', '2016-9-6 2:17:56', 106, 7, 196, 'https://mega.nz/...'),
(79, 12, 'S', 542139, '98.79', '2010-12-18 14:11:21', 162, 1, 388, 'https://mega.nz/...'),
(79, 19, 'B', 508549, '92.39', '2016-1-13 14:54:29', 159, 6, 325, 'https://mega.nz/...'),
(148, 31, 'C', 426589, '76.39', '2012-10-22 1:53:33', 162, 11, 189, 'https://mega.nz/...'),
(148, 12, 'C', 389532, '71.03', '2016-3-15 16:12:48', 115, 6, 100, 'https://mega.nz/...'),
(148, 9, 'A', 527283, '96.88', '2014-10-24 11:48:28', 137, 3, 314, 'https://mega.nz/...'),
(148, 27, 'C', 405188, '72.01', '2011-9-9 7:42:7', 168, 2, 156, 'https://mega.nz/...'),
(107, 12, 'B', 470609, '87.87', '2015-5-6 8:9:31', 86, 19, 154, 'https://mega.nz/...'),
(107, 14, 'B', 476126, '88.71', '2010-8-17 1:2:36', 92, 0, 169, 'https://mega.nz/...'),
(107, 21, 'B', 480738, '89.72', '2011-9-7 9:57:26', 89, 13, 169, 'https://mega.nz/...'),
(107, 7, 'B', 507556, '93.79', '2015-4-18 23:50:48', 118, 1, 250, 'https://mega.nz/...'),
(107, 23, 'C', 452829, '83.73', '2013-11-19 12:21:19', 104, 19, 163, 'https://mega.nz/...'),
(25, 24, 'B', 463304, '85.76', '2011-11-18 20:18:6', 104, 2, 175, 'https://mega.nz/...'),
(25, 3, 'S', 538650, '97.92', '2010-1-17 9:55:47', 167, 1, 392, 'https://mega.nz/...'),
(25, 5, 'C', 394800, '71.36', '2011-1-15 3:53:25', 133, 6, 119, 'https://mega.nz/...'),
(25, 33, 'B', 469543, '85.69', '2010-10-21 6:53:35', 137, 4, 230, 'https://mega.nz/...'),
(165, 33, 'C', 687467, '84.12', '2015-2-4 3:35:39', 207, 20, 285, 'https://mega.nz/...'),
(165, 33, 'B', 721459, '89.36', '2016-10-25 3:38:7', 176, 0, 286, 'https://mega.nz/...'),
(165, 25, 'A', 774929, '94.47', '2012-10-25 11:34:41', 247, 12, 461, 'https://mega.nz/...'),
(165, 5, 'A', 794294, '96.91', '2016-10-22 16:52:19', 250, 1, 496, 'https://mega.nz/...'),
(165, 29, 'C', 658302, '79.60', '2013-11-12 5:30:32', 235, 29, 273, 'https://mega.nz/...'),
(165, 20, 'D', 543560, '67.00', '2013-8-29 8:48:53', 145, 49, 82, 'https://mega.nz/...'),
(188, 20, 'A', 775454, '96.00', '2014-12-28 17:48:19', 191, 0, 371, 'https://mega.nz/...'),
(188, 11, 'C', 642593, '79.69', '2015-9-4 11:7:29', 153, 35, 178, 'https://mega.nz/...'),
(188, 19, 'C', 625569, '75.39', '2014-12-23 11:50:31', 233, 10, 225, 'https://mega.nz/...'),
(188, 30, 'B', 697075, '85.97', '2015-11-28 5:54:12', 184, 18, 270, 'https://mega.nz/...'),
(188, 2, 'S', 795907, '97.12', '2011-8-16 18:19:32', 250, 2, 498, 'https://mega.nz/...'),
(188, 7, 'B', 745568, '90.52', '2015-1-29 14:9:34', 252, 17, 424, 'https://mega.nz/...'),
(163, 2, 'C', 683638, '84.80', '2016-3-23 9:11:18', 162, 14, 228, 'https://mega.nz/...'),
(163, 8, 'C', 595961, '73.12', '2010-5-1 11:51:26', 172, 31, 147, 'https://mega.nz/...'),
(163, 33, 'A', 765374, '95.83', '2012-1-9 6:0:39', 147, 6, 284, 'https://mega.nz/...'),
(163, 35, 'D', 563977, '68.07', '2015-10-21 8:32:28', 206, 4, 127, 'https://mega.nz/...'),
(163, 6, 'D', 573643, '68.99', '2014-6-28 13:51:0', 219, 46, 145, 'https://mega.nz/...'),
(163, 26, 'A', 766382, '94.35', '2015-9-5 19:44:27', 209, 13, 389, 'https://mega.nz/...'),
(163, 16, 'C', 577587, '71.87', '2012-3-18 20:52:30', 128, 50, 102, 'https://mega.nz/...'),
(163, 27, 'B', 754688, '93.68', '2016-5-2 18:53:34', 176, 7, 322, 'https://mega.nz/...'),
(163, 34, 'C', 616776, '74.45', '2016-10-27 9:5:46', 225, 32, 207, 'https://mega.nz/...'),
(66, 19, 'C', 656574, '81.25', '2014-6-19 21:1:47', 163, 10, 202, 'https://mega.nz/...'),
(66, 24, 'D', 541268, '66.91', '2010-6-29 22:47:21', 137, 9, 77, 'https://mega.nz/...'),
(66, 13, 'B', 733025, '91.67', '2010-9-1 22:18:19', 145, 4, 251, 'https://mega.nz/...'),
(66, 15, 'B', 753529, '92.39', '2013-8-29 13:54:1', 220, 1, 389, 'https://mega.nz/...'),
(66, 5, 'B', 751601, '92.37', '2013-10-12 4:54:29', 211, 5, 373, 'https://mega.nz/...'),
